dispatch_number,date,time,address,location,location_detail,activity,activity_medium,disposition,details,details_text
22028900,2022-02-27,2:20:00 AM,906 Rundell St,NA,906 Rundell St,THREATS,THREATS,INCIDENT REPORT TAKEN,Y,"MALE IS THREATENING HIS LIFE, REQ A PHONE CALL FOR OPTIONS"
22028901,2022-02-27,2:22:00 AM,1857 Lower Muscatine Rd,MEXICO LINDO GRILL AND CANTENA,1857 Lower Muscatine Rd,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,COMPLETED,N,NA
22028903,2022-02-27,2:26:00 AM,80 Gathering Place Ln,NA,80 Gathering Place Ln 304,SUICIDE/LAW,SUICIDE/LAW,COMPLETED,Y,EVNT 6
22028905,2022-02-27,2:32:00 AM,Front St/E Burlington St,NA,Front St/E Burlington St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22028906,2022-02-27,2:32:00 AM,S Gilbert St/E Prentiss St,NA,S Gilbert St/E Prentiss St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22028907,2022-02-27,2:33:00 AM,7 Wakefield Ct,NA,7 Wakefield Ct,ASSAULT,ASSAULT,INCIDENT REPORT TAKEN,Y,Linked to CFS#: 22028945
22028919,2022-02-27,3:04:00 AM,N Governor St/E Bloomington St,NA,N Governor St/E Bloomington St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,Y,RED CHARGER
22028920,2022-02-27,3:05:00 AM,429 Southgate Ave,SHELTER HOUSE,429 Southgate Ave,DIST/FIGHT IN PROGRESS,DIST/FIGHT IN PROGRESS,INCIDENT REPORT TAKEN,N,NA
22028923,2022-02-27,3:07:00 AM,300 Southgate Ave,GUIDELINK CENTER,300 Southgate Ave,Z Psychiatric/Abnormal Behavior/Suicide Attempt,Z Psychiatric/Abnormal Behavior/Suicide Attempt,COMPLETED,Y,NO ROOM AT GUIDELINK/ C2
22028924,2022-02-27,3:07:00 AM,130 N Dubuque St,POPS OLD & NEW BBQ,130 N Dubuque St,PUBLIC ASSIST,PUBLIC ASSIST,REF TO CITY DEPARTMENT,N,NA
22028926,2022-02-27,3:21:00 AM,204 N Dubuque ST,CASEYS,204 N Dubuque ST,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22028929,2022-02-27,3:26:00 AM,60 E Court St,NA,60 E Court St,911 HANGUP,911 HANGUP,INFORMATION,Y,"PHASE 2, MAPPED LOCATION, OPEN LINE, NOTHING HEARD"
22028930,2022-02-27,3:31:00 AM,457 S Gilbert St,FALBO BROTHERS PIZZA,457 S Gilbert St,TRAFFIC STOP,TRAFFIC STOP,ARREST MADE,N,NA
22028932,2022-02-27,3:40:00 AM,1240 Esther Ct,NA,1240 Esther Ct,WELFARE CHECK,WELFARE CHECK,COMPLETED,Y,MALE ADVISING A 18 YOA XAVIER HERMAN HAS A 16 YOA FEMALE NAMED PAISLEY STAYING
22028933,2022-02-27,3:41:00 AM,2401 HWY 6 E,NA,2401 HWY 6 E 52203,DIST/NOISE GENERAL,DIST/NOISE GENERAL,UNABLE TO CONTACT,Y,"LOUD MUSIC//RP CALLED SECURITY 3 TIMES,SECURITY HASN^T FIXED THE PROBLEM"
22028935,2022-02-27,3:45:00 AM,414 Brown St,NA,414 Brown St 2,DIST/DOMESTIC,DIST/DOMESTIC,INCIDENT REPORT TAKEN,N,NA
22028943,2022-02-27,4:25:00 AM,109 E Washington St,HANDS JEWELERS,109 E Washington St,911 HANGUP,911 HANGUP,INFORMATION,Y,"PHASE1, TOWER LOCATION, IMMED HANGUP, VM NOT SET UP ON CALLBACK"
22028945,2022-02-27,4:28:00 AM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,Linked to CFS#: 22028907
22028948,2022-02-27,4:31:00 AM,4515 Melrose Ave,CHATHAM OAKS INC,4515 Melrose Ave,Z Psychiatric/Abnormal Behavior/Suicide Attempt,Z Psychiatric/Abnormal Behavior/Suicide Attempt,PT TRANSPORTED,Y,EVNT 6
22028951,2022-02-27,4:43:00 AM,401 Hawk Ridge Dr,NA,401 Hawk Ridge Dr,Z Abdominal Pain/Problems,Z Abdominal Pain/Problems,HANDLED BY OTHER AGENCY,Y,IN FRONT OF BUILDING INSIDE
22028952,2022-02-27,5:09:00 AM,300 Southgate Ave,GUIDELINK CENTER,300 Southgate Ave,TRESPASS,TRESPASS,ARREST MADE,Y,"B/M BLUE HOODIE, BLUE JEANS, WHT SHOES/KICKING FRONT DOOR"
22028953,2022-02-27,5:15:00 AM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,N,NA
22028954,2022-02-27,6:09:00 AM,735 Michael St,NA,735 Michael St 34,911 HANGUP,911 HANGUP,COMPLETED,Y,"NO ANSWER ON CALL BACK RP GAVE ADDRESS AND SAID NO EMERGENCY ACCIDENTIAL, JUST WOKE UP"
22028958,2022-02-27,6:21:00 AM,1426 Keokuk St,NA,1426 Keokuk St,Z Pregnancy/Childbirth/Miscarriage,Z Pregnancy/Childbirth/Miscarriage,PT TRANSPORTED,Y,JUST HAD A BABY
22028959,2022-02-27,6:24:00 AM,401 Hawk Ridge Dr,NA,401 Hawk Ridge Dr 4213,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,REF A MALE SUBJECT THAT IS STILL BOTHERING HER AFTER HE HAS BEEN TALKED TO ABOUT BOTHERING HER
22028961,2022-02-27,6:44:00 AM,7 Wakefield Ct,NA,7 Wakefield Ct,PHONE REQUEST,PHONE REQUEST,CIT/MOBILE CRISIS OUTREACH,Y,Linked to CFS#: 22028907
22028962,2022-02-27,6:53:00 AM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,PREVIOUS INCIDENT,Y,"WOULD LIKE TO KNOW WHERE BF PASSED AWAY AT, BELIEVES OFFICERS HAVE BEEN NOT TELLING HER THE TRUTH ABOUT IT"
22028969,2022-02-27,7:07:00 AM,4 Sturgis Corner Dr,HAMPTON INN,4 Sturgis Corner Dr,Z Unknown Problem,Z Unknown Problem,COMPLETED,Y,EVENT 7
22028971,2022-02-27,7:11:00 AM,429 Southgate Ave,SHELTER HOUSE,429 Southgate Ave,THEFT,THEFT,COMPLETED,N,NA
22028973,2022-02-27,7:22:00 AM,518 S Van Buren St,NA,518 S Van Buren St,911 HANGUP,911 HANGUP,PREVIOUS INCIDENT,Y,Linked to CFS#: 22028975
22028975,2022-02-27,7:32:00 AM,522 S Van Buren St,NA,522 S Van Buren St,DIST/FIGHT IN PROGRESS,DIST/FIGHT IN PROGRESS,UNABLE TO LOCATE,Y,MALE WITH WARRANT  DESTORYING RPS APT
22028977,2022-02-27,7:40:00 AM,2682 Pinto Ln,NA,2682 Pinto Ln,911 HANGUP,911 HANGUP,UNFOUNDED,Y,SPOKE WITH A FEMALE ON (8494)  STATED NO ISSUES EVERYONE ELSE IN THE HOUSE IS SLEEPING
22028981,2022-02-27,7:50:00 AM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,SPECIAL ASSIGNMENT,SPECIAL ASSIGNMENT,COMPLETED,Y,ARMORER
22028992,2022-02-27,8:19:00 AM,2446 Lakeside Dr,NA,2446 Lakeside Dr 10,Z Convulsions/Seizures,Z Convulsions/Seizures,HANDLED BY OTHER AGENCY,Y,EVENT 6
22028995,2022-02-27,8:28:00 AM,227 S Dubuque St,SOSEKI CAFE,227 S Dubuque St,THEFT/MOTOR VEHICLE,THEFT/MOTOR VEHICLE,UNFOUNDED,Y,RP CALLED BIG TEN  AND VEH WASNT THERE    WAS PARKED LAST NIGHT
22028996,2022-02-27,8:31:00 AM,701 Oaknoll DR,OAKNOLL RETIREMENT CENTER,701 Oaknoll DR,TR/PARKING,TR/PARKING,COMPLETED,N,NA
22028999,2022-02-27,8:46:00 AM,68 E Court St,NA,68 E Court St 3,ALARM/BURGLARY,ALARM/BURGLARY,EMPL ERROR ALARM,Y,BACK DOOR EAST SENSORY
22029002,2022-02-27,8:52:00 AM,1100 ARTHUR ST,TOWN & CAMPUS APARTMENTS,1100 ARTHUR ST D3,THREATS,THREATS,UNABLE TO LOCATE,N,NA
22029003,2022-02-27,9:01:00 AM,1720 WATERFRONT DR,HY-VEE,1720 WATERFRONT DR,TRESPASS,TRESPASS,UNABLE TO LOCATE,Y,"OUT WITH MALE, BIG 10 RENTAL"
22029004,2022-02-27,9:05:00 AM,211 E Iowa Ave,ELRAYS LIVE AND DIVE,211 E Iowa Ave,PROPERTY/LOST,PROPERTY/LOST,COMPLETED,N,NA
22029007,2022-02-27,9:11:00 AM,320 E Washington St,NA,320 E Washington St 6C,Z Unknown Problem,Z Unknown Problem,HANDLED BY OTHER AGENCY,Y,EVENT 6
22029011,2022-02-27,9:27:00 AM,2415 Bittersweet Ct,NA,2415 Bittersweet Ct,CRIMINAL MISC/VANDALISM,CRIMINAL MISC/VANDALISM,INCIDENT REPORT TAKEN,N,NA
22029014,2022-02-27,9:41:00 AM,846 CROSS PARK AVE - 13 N,NA,846 CROSS PARK AVE - 13 N,911 HANGUP,911 HANGUP,COMPLETED,N,NA
22029027,2022-02-27,10:04:00 AM,108 S Linn St,NA,108 S Linn St,Z Breathing Problems,Z Breathing Problems,HANDLED BY OTHER AGENCY,Y,WILL MEET AT THE FRONT DOOR
22029035,2022-02-27,10:18:00 AM,812 S 1st AVE,HY-VEE,812 S 1st AVE,TRESPASS,TRESPASS,COMPLETED,Y,WOULD LIKE ARMSTRONG TRESPASSED FROM HYVEE
22029040,2022-02-27,10:36:00 AM,813 Westwinds Dr,NA,813 Westwinds Dr 3,Z Sick Person,Z Sick Person,HANDLED BY OTHER AGENCY,N,NA
22029042,2022-02-27,10:43:00 AM,2303 MUSCATINE AVE,KUM & GO,2303 MUSCATINE AVE,SOLICITOR,SOLICITOR,WARNING ISSUED VERBAL,Y,HOMELESS MALE ASKING CUSTOMERS FOR MONEY
22029044,2022-02-27,10:47:00 AM,170 E Court St,GREYHOUND LINES,170 E Court St,PROPERTY/FOUND,PROPERTY/FOUND,COMPLETED,N,NA
22029045,2022-02-27,10:54:00 AM,Foster Rd/N Dubuque St,NA,Foster Rd/N Dubuque St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22029048,2022-02-27,10:53:00 AM,Taylor Dr/Hollywood Blvd,NA,Taylor Dr/Hollywood Blvd,Z Burns/Explosion,Z Burns/Explosion,PT TRANSPORTED,Y,EVENT 8
22029056,2022-02-27,11:05:00 AM,2446 Lakeside Dr,NA,2446 Lakeside Dr 10,Z Convulsions/Seizures,Z Convulsions/Seizures,HANDLED BY OTHER AGENCY,Y,EVENT 10
22029060,2022-02-27,11:09:00 AM,430 SOUTHGATE AVE,PRELUDE,430 SOUTHGATE AVE,Z Convulsions/Seizures,Z Convulsions/Seizures,HANDLED BY OTHER AGENCY,Y,EVENT 11
22029066,2022-02-27,11:26:00 AM,Melrose Ave/Mormon Trek Blvd,NA,Melrose Ave/Mormon Trek Blvd,TR/RECKLESS DRIVER,TR/RECKLESS DRIVER,BROADCAST,N,NA
22029067,2022-02-27,11:29:00 AM,100 N Dubuque St,NA,100 N Dubuque St,TR/PARKING,TR/PARKING,WARNING ISSUED VERBAL,Y,Field Initiated Activity created from Mobile
22029072,2022-02-27,11:50:00 AM,16 N Clinton ST,PHILLIPS HALL,16 N Clinton ST,911 HANGUP,911 HANGUP,BROADCAST,N,NA
22029073,2022-02-27,11:51:00 AM,1205 LAURA DR,FOREST VIEW TRAILER COURT,1205 LAURA DR,JUV/GENERAL,JUV/GENERAL,COMPLETED,Y,Linked to CFS#: 22028791
22029074,2022-02-27,12:00:00 PM,425 Hwy 1 W,SLAGER APPLIANCE,425 Hwy 1 W,DIST/FIGHT IN PROGRESS,DIST/FIGHT IN PROGRESS,UNFOUNDED,Y,CALLED 3706 TWICE LEFT MESSAGE
22029078,2022-02-27,12:23:00 PM,445 Hwy 1 W,NA,445 Hwy 1 W 14,DIST/FIGHT IN PROGRESS,DIST/FIGHT IN PROGRESS,COMPLETED,Y,TWO MALES FIGHTING   SOUNDS VERBAL ONLY
22029082,2022-02-27,12:49:00 PM,530 N Dubuque St,NA,530 N Dubuque St,911 HANGUP,911 HANGUP,INFORMATION,N,NA
22029089,2022-02-27,1:17:00 PM,11 S DUBUQUE ST,MICKEYS IRISH PUB,11 S DUBUQUE ST,FIRE RESPONSE LAW,FIRE RESPONSE LAW,COMPLETED,N,NA
22029093,2022-02-27,1:30:00 PM,1845 LOWER MUSCATINE RD,LAUNDROMANIA,1845 LOWER MUSCATINE RD,MVA/HIT AND RUN PD,MVA/HIT AND RUN PD,INCIDENT REPORT TAKEN,N,NA
22029095,2022-02-27,1:33:00 PM,201 S Clinton St,BUFFALO WILD WINGS,201 S Clinton St,TRESPASS,TRESPASS,COMPLETED,Y,HOMELESS MALE TRYING TO TAKE PEOPLES FOOD AND ARGUING WITH MANAGEMENT
22029096,2022-02-27,1:35:00 PM,Mormon Trek Blvd/West Side Dr,NA,Mormon Trek Blvd/West Side Dr,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,VEHICLE TOWED,N,NA
22029100,2022-02-27,1:40:00 PM,1428 Keokuk St,NA,1428 Keokuk St,MISSING/JUVENILE,MISSING/JUVENILE,CANCEL BY COMPL,N,NA
22029103,2022-02-27,1:44:00 PM,429 Southgate Ave,SHELTER HOUSE,429 Southgate Ave,Z Psychiatric/Abnormal Behavior/Suicide Attempt,Z Psychiatric/Abnormal Behavior/Suicide Attempt,IGNORE,Y,EVENT 8
22029107,2022-02-27,1:45:00 PM,820 Cross Park AVE,CROSS PARK PLACE,820 Cross Park AVE,Z Heart Problems/AICD,Z Heart Problems/AICD,HANDLED BY OTHER AGENCY,Y,HEART PROBLEMS IN LOBBY
22029108,2022-02-27,1:50:00 PM,1720 WATERFRONT DR,HY-VEE,1720 WATERFRONT DR,THEFT/SHOPLIFTING,THEFT/SHOPLIFTING,NO REPORT,Y,HOMELESS MALE WEARING CAMO  W/M WALKING OUT WITH FOOD   HEADING TOWARD SALVATION ARMY
22029111,2022-02-27,1:50:00 PM,807 E Washington St,NA,807 E Washington St 2,FIRE RESPONSE LAW,FIRE RESPONSE LAW,COMPLETED,Y,EVENT 6 AND TAC 1
22029113,2022-02-27,2:05:00 PM,734 WESTWINDS DR,NA,734 WESTWINDS DR 1,PROPERTY/FOUND,PROPERTY/FOUND,INCIDENT REPORT TAKEN,N,NA
22029115,2022-02-27,2:30:00 PM,2149 Davis St,NA,2149 Davis St,PHONE REQUEST,PHONE REQUEST,CIVIL,Y,SHIRLEY WRIGHT
22029121,2022-02-27,2:50:00 PM,509 S Linn St,NA,509 S Linn St 2,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,Y,TIRES SLASHED     AVAIL BY PHONE
22029122,2022-02-27,2:51:00 PM,8 S CLINTON ST,DUNKIN DONUTS,8 S CLINTON ST,PROPERTY/LOST,PROPERTY/LOST,COMPLETED,N,NA
22029127,2022-02-27,3:09:00 PM,N Dubuque St/80,NA,N Dubuque St/80,Z Convulsions/Seizures,Z Convulsions/Seizures,COMPLETED,Y,EITHER A SEIUZRE OR CARDIC   DOOR IS LOCKED
22029129,2022-02-27,3:07:00 PM,S Riverside Dr/Commercial Dr,NA,S Riverside Dr/Commercial Dr,ANIMAL/CALL GENERAL,ANIMAL/CALL GENERAL,COMPLETED,N,NA
22029131,2022-02-27,3:12:00 PM,1112 Muscatine Ave,NA,1112 Muscatine Ave,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,16
22029132,2022-02-27,3:19:00 PM,E Washington St/S Clinton St,NA,E Washington St/S Clinton St,THREATS,THREATS,UNABLE TO LOCATE,Y,"B/M JEANS BLK HOODIE AND SNEAKERS YELLING AT PEOPLE, THREATENING AND HARASSING THEM"
22029133,2022-02-27,3:19:00 PM,325 Palomino Ct,NA,325 Palomino Ct,DIST/CIVIL DISPUTE,DIST/CIVIL DISPUTE,COMPLETED,Y,NIEGHBOR HAS 4 DOGS AND POOPING IN RPS YARD AND OWNER REFUSES TO PICK IT UP- CALLED IN ON 911
22029141,2022-02-27,3:38:00 PM,815 E Washington St,PI BETA PHI SORORITY,815 E Washington St,THEFT,THEFT,INCIDENT REPORT TAKEN,Y,"HAPPENED ABOUT 0330, TWO MALES STOLE THEIR DOORMAT, HAS FOOTAGE FROM RING DOORBELL"
22029145,2022-02-27,3:51:00 PM,101 Act Dr,NA,101 Act Dr,ANIMAL/K9 TRAINING,ANIMAL/K9 TRAINING,COMPLETED,Y,Field Initiated Activity created from Mobile
22029146,2022-02-27,3:52:00 PM,1819 Stevens Dr,NA,1819 Stevens Dr,BURGLARY/RESIDENTIAL,BURGLARY/RESIDENTIAL,INCIDENT REPORT TAKEN,Y,"TWO GARDEN TACTORS STOLEN IN THE LAST WEEK, UNSURE EXACT TIMEFRAME"
22029148,2022-02-27,3:57:00 PM,1920 LOWER MUSCATINE RD,BP,1920 LOWER MUSCATINE RD,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,N,NA
22029149,2022-02-27,4:03:00 PM,816 S Gilbert St,GEOFFS BIKE AND SKI,816 S Gilbert St,PAPER SERVICE/WARRANT,PAPER SERVICE/WARRANT,PREVIOUS INCIDENT,N,NA
22029151,2022-02-27,4:18:00 PM,1124 Oakcrest St,NA,1124 Oakcrest St 11,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,COMPLETED,N,NA
22029153,2022-02-27,4:10:00 PM,1100 ARTHUR ST,NA,1100 ARTHUR ST M2,INFO/ALL OTHER INFO,INFO/ALL OTHER INFO,INFORMATION,N,NA
22029157,2022-02-27,4:25:00 PM,S Capitol St/Lafayette St,NA,S Capitol St/Lafayette St,TRAFFIC STOP,TRAFFIC STOP,ARREST MADE,Y,30 REQ 2ND
22029158,2022-02-27,4:26:00 PM,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,JUV/GENERAL,JUV/GENERAL,COMPLETED,N,NA
22029163,2022-02-27,4:37:00 PM,919 Hwy 1 W,WALMART,919 Hwy 1 W,THEFT/SHOPLIFTING,THEFT/SHOPLIFTING,INCIDENT REPORT TAKEN,Y,"W/M BLK/RED HAT GRE SHIRT, WALKING EAST"
22029166,2022-02-27,4:45:00 PM,Hwy 6 E/S Riverside Dr,NA,Hwy 6 E/S Riverside Dr,WELFARE CHECK,WELFARE CHECK,COMPLETED,N,"
"
22029167,2022-02-27,4:48:00 PM,80/245East,NA,80/245East,TR/RECKLESS DRIVER,TR/RECKLESS DRIVER,BROADCAST,Y,"MAR FREIGHTLINER SEMI TRUCK ALL OVER THE ROAD, NEARLY BEEN IN SEVERAL ACCIDENTS, GOING 75 MP"
22029169,2022-02-27,4:51:00 PM,W Burlington St/S Riverside Dr,NA,W Burlington St/S Riverside Dr,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22029173,2022-02-27,5:01:00 PM,1907 Keokuk St,KWIK STAR,1907 Keokuk St,THEFT/SHOPLIFTING,THEFT/SHOPLIFTING,INCIDENT REPORT TAKEN,Y,BUIK JMT287 TOOK SOME CANDY AND DRINKS // NO TIME DELAY
22029175,2022-02-27,5:07:00 PM,2135 Keokuk St,NA,2135 Keokuk St,TR/PARKING,TR/PARKING,COMPLETED,Y,SIL SUV PARKED IN HANDICAPPED PARKING SPOT
22029176,2022-02-27,5:09:00 PM,621 S Dodge St,NA,621 S Dodge St,PAPER SERVICE/WARRANT,PAPER SERVICE/WARRANT,PREVIOUS INCIDENT,Y,TRINA THOMPSON
22029177,2022-02-27,5:15:00 PM,511 S Capitol ST,JOHNSON COUNTY SHERIFFS OFFICE,511 S Capitol ST,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,Linked to CFS#: 22029176
22029180,2022-02-27,5:22:00 PM,415 S Van Buren St,NA,415 S Van Buren St 8,Z Sick Person,Z Sick Person,PT TRANSPORTED,Y,LEFT ARM AND HAND SWOLLEN ALCOHOL WITHDRAWL
22029189,2022-02-27,6:02:00 PM,2427 Petsel Pl,NA,2427 Petsel Pl 1,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,ENROUTE TO THE PETZEL PL ADDRESS
22029193,2022-02-27,6:19:00 PM,Garden St/Muscatine Ave,NA,Garden St/Muscatine Ave,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,Y,GREEEN CAR NO PLATES
22029195,2022-02-27,6:21:00 PM,2714 Wayne Ave,NA,2714 Wayne Ave,MENTAL IMPAIRMENT,MENTAL IMPAIRMENT,UNABLE TO LOCATE,Y,JUVS THROWING ROCKS AND SNOWBALLS
22029200,2022-02-27,6:43:00 PM,310 Scott Ct,NA,310 Scott Ct,DIST/NOISE GENERAL,DIST/NOISE GENERAL,UNABLE TO LOCATE,Y,"CARS BLARING MUSIC, CALLED ON 911"
22029201,2022-02-27,6:44:00 PM,Garden St/Muscatine Ave,NA,Garden St/Muscatine Ave,ANIMAL/K9 OTHER THAN TRAINING,ANIMAL/K9 OTHER THAN TRAINING,COMPLETED,Y,GREEEN CAR NO PLATES
22029202,2022-02-27,6:46:00 PM,Garden St/Muscatine Ave,NA,Garden St/Muscatine Ave,VIOLATION NO CONTACT ORDER,VIOLATION NO CONTACT ORDER,ARREST MADE,Y,GREEEN CAR NO PLATES
22029204,2022-02-27,7:00:00 PM,N Clinton St/E Iowa Ave,NA,N Clinton St/E Iowa Ave,TR/PARKING,TR/PARKING,PARKING TICKET,Y,THREE VEH PARKED IN BUS LANE
22029205,2022-02-27,7:00:00 PM,2470 Lakeside Dr,NA,2470 Lakeside Dr 1,DIST/CIVIL DISPUTE,DIST/CIVIL DISPUTE,COMPLETED,N,NA
22029206,2022-02-27,7:21:00 PM,2501 Bradford Dr,SOUTHEAST JUNIOR HIGH,2501 Bradford Dr,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22029207,2022-02-27,7:24:00 PM,S Gilbert St/Stevens Dr,NA,S Gilbert St/Stevens Dr,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
